The output is in a grid format!
Format: (x,y,z) where x,y,z are the coordinates of the grid

(470.0 50.0 10.54), (470.0 70.0 12.3), (470.0 90.0 11.45), (470.0 110.0 10.6), (470.0 130.0 14.2), (470.0 150.0 15.3), (470.0 170.0 13.9), (470.0 190.0 nan), (470.0 210.0 nan), (470.0 230.0 nan), (470.0 250.0 nan), (470.0 270.0 nan), (470.0 290.0 nan), (470.0 310.0 nan), (470.0 330.0 nan), (470.0 350.0 nan), (470.0 370.0 nan), (470.0 390.0 nan), (470.0 410.0 nan), (470.0 430.0 nan), (470.0 450.0 nan), 
(450.0 50.0 10.9), (450.0 70.0 14.39), (450.0 90.0 13.55), (450.0 110.0 12.7), (450.0 130.0 11.85), (450.0 150.0 11.0), (450.0 170.0 14.69), (450.0 190.0 18.23), (450.0 210.0 19.3), (450.0 230.0 17.9), (450.0 250.0 16.5), (450.0 270.0 nan), (450.0 290.0 nan), (450.0 310.0 nan), (450.0 330.0 nan), (450.0 350.0 nan), (450.0 370.0 nan), (450.0 390.0 nan), (450.0 410.0 nan), (450.0 430.0 nan), (450.0 450.0 nan), 
(430.0 50.0 11.26), (430.0 70.0 14.5), (430.0 90.0 15.64), (430.0 110.0 14.79), (430.0 130.0 13.95), (430.0 150.0 13.99), (430.0 170.0 17.59), (430.0 190.0 21.0), (430.0 210.0 19.1), (430.0 230.0 19.97), (430.0 250.0 20.53), (430.0 270.0 20.8), (430.0 290.0 21.07), (430.0 310.0 20.5), (430.0 330.0 19.1), (430.0 350.0 nan), (430.0 370.0 nan), (430.0 390.0 nan), (430.0 410.0 nan), (430.0 430.0 nan), (430.0 450.0 nan), 
(410.0 50.0 11.62), (410.0 70.0 13.5), (410.0 90.0 17.74), (410.0 110.0 16.89), (410.0 130.0 16.04), (410.0 150.0 16.97), (410.0 170.0 20.57), (410.0 190.0 21.05), (410.0 210.0 19.15), (410.0 230.0 18.63), (410.0 250.0 19.5), (410.0 270.0 20.37), (410.0 290.0 20.93), (410.0 310.0 21.2), (410.0 330.0 21.47), (410.0 350.0 21.73), (410.0 370.0 22.0), (410.0 390.0 22.27), (410.0 410.0 21.7), (410.0 430.0 nan), (410.0 450.0 nan), 
(390.0 50.0 11.98), (390.0 70.0 13.45), (390.0 90.0 19.84), (390.0 110.0 18.99), (390.0 130.0 18.14), (390.0 150.0 19.96), (390.0 170.0 23.01), (390.0 190.0 21.11), (390.0 210.0 19.2), (390.0 230.0 17.3), (390.0 250.0 18.17), (390.0 270.0 19.03), (390.0 290.0 19.9), (390.0 310.0 20.77), (390.0 330.0 21.33), (390.0 350.0 21.6), (390.0 370.0 21.87), (390.0 390.0 22.13), (390.0 410.0 22.4), (390.0 430.0 22.67), (390.0 450.0 22.49), 
(370.0 50.0 12.34), (370.0 70.0 13.81), (370.0 90.0 19.5), (370.0 110.0 21.08), (370.0 130.0 20.24), (370.0 150.0 22.95), (370.0 170.0 23.06), (370.0 190.0 21.16), (370.0 210.0 19.25), (370.0 230.0 17.35), (370.0 250.0 16.83), (370.0 270.0 17.7), (370.0 290.0 18.57), (370.0 310.0 19.43), (370.0 330.0 20.3), (370.0 350.0 21.17), (370.0 370.0 21.73), (370.0 390.0 22.0), (370.0 410.0 22.27), (370.0 430.0 22.1), (370.0 450.0 21.49), 
(350.0 50.0 12.7), (350.0 70.0 14.17), (350.0 90.0 18.5), (350.0 110.0 23.18), (350.0 130.0 22.26), (350.0 150.0 25.02), (350.0 170.0 23.11), (350.0 190.0 21.21), (350.0 210.0 19.31), (350.0 230.0 17.4), (350.0 250.0 15.5), (350.0 270.0 16.37), (350.0 290.0 17.23), (350.0 310.0 18.1), (350.0 330.0 18.97), (350.0 350.0 19.83), (350.0 370.0 20.7), (350.0 390.0 21.57), (350.0 410.0 21.7), (350.0 430.0 21.1), (350.0 450.0 20.49), 
(330.0 50.0 13.06), (330.0 70.0 14.53), (330.0 90.0 17.5), (330.0 110.0 25.28), (330.0 130.0 25.32), (330.0 150.0 25.07), (330.0 170.0 23.16), (330.0 190.0 21.26), (330.0 210.0 19.36), (330.0 230.0 17.45), (330.0 250.0 15.55), (330.0 270.0 15.03), (330.0 290.0 15.9), (330.0 310.0 16.77), (330.0 330.0 17.63), (330.0 350.0 18.5), (330.0 370.0 19.37), (330.0 390.0 20.18), (330.0 410.0 20.7), (330.0 430.0 20.1), (330.0 450.0 19.49), 
(310.0 50.0 13.42), (310.0 70.0 14.89), (310.0 90.0 16.5), (310.0 110.0 24.5), (310.0 130.0 27.02), (310.0 150.0 25.12), (310.0 170.0 23.22), (310.0 190.0 21.31), (310.0 210.0 19.41), (310.0 230.0 17.51), (310.0 250.0 15.6), (310.0 270.0 13.7), (310.0 290.0 14.57), (310.0 310.0 15.43), (310.0 330.0 16.3), (310.0 350.0 17.17), (310.0 370.0 17.98), (310.0 390.0 18.73), (310.0 410.0 19.48), (310.0 430.0 19.1), (310.0 450.0 18.49), 
(290.0 50.0 13.78), (290.0 70.0 15.25), (290.0 90.0 16.72), (290.0 110.0 23.5), (290.0 130.0 26.09), (290.0 150.0 24.94), (290.0 170.0 23.27), (290.0 190.0 21.36), (290.0 210.0 19.46), (290.0 230.0 17.56), (290.0 250.0 15.65), (290.0 270.0 13.75), (290.0 290.0 13.23), (290.0 310.0 14.1), (290.0 330.0 14.97), (290.0 350.0 15.78), (290.0 370.0 16.52), (290.0 390.0 17.27), (290.0 410.0 18.02), (290.0 430.0 18.1), (290.0 450.0 17.49), 
(270.0 50.0 14.14), (270.0 70.0 15.61), (270.0 90.0 17.08), (270.0 110.0 20.77), (270.0 130.0 21.85), (270.0 150.0 22.26), (270.0 170.0 21.11), (270.0 190.0 19.97), (270.0 210.0 18.83), (270.0 230.0 17.61), (270.0 250.0 15.71), (270.0 270.0 13.8), (270.0 290.0 11.9), (270.0 310.0 12.77), (270.0 330.0 13.58), (270.0 350.0 14.32), (270.0 370.0 15.08), (270.0 390.0 15.82), (270.0 410.0 16.58), (270.0 430.0 17.1), (270.0 450.0 16.5), 
(250.0 50.0 14.5), (250.0 70.0 15.97), (250.0 90.0 17.44), (250.0 110.0 17.02), (250.0 130.0 17.38), (250.0 150.0 18.46), (250.0 170.0 18.43), (250.0 190.0 17.29), (250.0 210.0 16.14), (250.0 230.0 15.0), (250.0 250.0 13.86), (250.0 270.0 12.71), (250.0 290.0 11.57), (250.0 310.0 11.38), (250.0 330.0 12.12), (250.0 350.0 12.88), (250.0 370.0 13.62), (250.0 390.0 14.38), (250.0 410.0 15.12), (250.0 430.0 15.88), (250.0 450.0 15.5), 
(230.0 50.0 14.86), (230.0 70.0 16.33), (230.0 90.0 17.17), (230.0 110.0 16.12), (230.0 130.0 15.06), (230.0 150.0 14.0), (230.0 170.0 15.08), (230.0 190.0 14.6), (230.0 210.0 13.46), (230.0 230.0 12.31), (230.0 250.0 11.17), (230.0 270.0 11.07), (230.0 290.0 11.99), (230.0 310.0 12.2), (230.0 330.0 12.04), (230.0 350.0 11.88), (230.0 370.0 12.18), (230.0 390.0 12.92), (230.0 410.0 13.68), (230.0 430.0 14.42), (230.0 450.0 14.5), 
(210.0 50.0 15.22), (210.0 70.0 16.69), (210.0 90.0 16.27), (210.0 110.0 15.21), (210.0 130.0 14.15), (210.0 150.0 13.1), (210.0 170.0 12.04), (210.0 190.0 11.69), (210.0 210.0 10.77), (210.0 230.0 10.67), (210.0 250.0 11.62), (210.0 270.0 12.57), (210.0 290.0 13.08), (210.0 310.0 13.29), (210.0 330.0 13.32), (210.0 350.0 13.16), (210.0 370.0 13.0), (210.0 390.0 12.84), (210.0 410.0 12.68), (210.0 430.0 12.98), (210.0 450.0 13.5), 
(190.0 50.0 15.58), (190.0 70.0 16.42), (190.0 90.0 15.37), (190.0 110.0 14.31), (190.0 130.0 13.25), (190.0 150.0 12.19), (190.0 170.0 11.13), (190.0 190.0 10.61), (190.0 210.0 11.22), (190.0 230.0 12.17), (190.0 250.0 13.11), (190.0 270.0 13.96), (190.0 290.0 14.18), (190.0 310.0 14.39), (190.0 330.0 14.6), (190.0 350.0 14.44), (190.0 370.0 14.28), (190.0 390.0 14.12), (190.0 410.0 13.96), (190.0 430.0 13.8), (190.0 450.0 14.53), 
(170.0 50.0 15.94), (170.0 70.0 15.52), (170.0 90.0 14.46), (170.0 110.0 13.4), (170.0 130.0 12.35), (170.0 150.0 11.55), (170.0 170.0 11.83), (170.0 190.0 12.1), (170.0 210.0 12.71), (170.0 230.0 13.66), (170.0 250.0 14.6), (170.0 270.0 15.06), (170.0 290.0 15.27), (170.0 310.0 15.48), (170.0 330.0 15.69), (170.0 350.0 15.72), (170.0 370.0 15.56), (170.0 390.0 15.4), (170.0 410.0 15.24), (170.0 430.0 15.08), (170.0 450.0 17.59), 
(150.0 50.0 15.67), (150.0 70.0 14.62), (150.0 90.0 13.56), (150.0 110.0 16.73), (150.0 130.0 12.77), (150.0 150.0 13.05), (150.0 170.0 13.32), (150.0 190.0 13.59), (150.0 210.0 14.2), (150.0 230.0 15.15), (150.0 250.0 15.94), (150.0 270.0 16.15), (150.0 290.0 16.36), (150.0 310.0 16.58), (150.0 330.0 16.79), (150.0 350.0 17.0), (150.0 370.0 16.84), (150.0 390.0 16.68), (150.0 410.0 16.52), (150.0 430.0 16.36), (150.0 450.0 20.65), 
(130.0 50.0 14.77), (130.0 70.0 13.71), (130.0 90.0 13.72), (130.0 110.0 13.99), (130.0 130.0 14.27), (130.0 150.0 14.54), (130.0 170.0 14.81), (130.0 190.0 15.09), (130.0 210.0 15.7), (130.0 230.0 16.64), (130.0 250.0 17.03), (130.0 270.0 17.24), (130.0 290.0 17.46), (130.0 310.0 17.67), (130.0 330.0 17.88), (130.0 350.0 18.09), (130.0 370.0 18.12), (130.0 390.0 17.96), (130.0 410.0 17.8), (130.0 430.0 18.53), (130.0 450.0 23.71), 
(110.0 50.0 14.66), (110.0 70.0 14.94), (110.0 90.0 15.21), (110.0 110.0 15.49), (110.0 130.0 15.76), (110.0 150.0 16.03), (110.0 170.0 16.31), (110.0 190.0 16.58), (110.0 210.0 17.19), (110.0 230.0 17.91), (110.0 250.0 18.12), (110.0 270.0 18.34), (110.0 290.0 18.55), (110.0 310.0 18.76), (110.0 330.0 18.98), (110.0 350.0 19.19), (110.0 370.0 19.4), (110.0 390.0 19.24), (110.0 410.0 19.08), (110.0 430.0 21.59), (110.0 450.0 26.76), 
(90.0 50.0 15.62), (90.0 70.0 16.36), (90.0 90.0 16.7), (90.0 110.0 16.98), (90.0 130.0 17.25), (90.0 150.0 17.52), (90.0 170.0 17.8), (90.0 190.0 18.07), (90.0 210.0 18.68), (90.0 230.0 19.01), (90.0 250.0 19.22), (90.0 270.0 19.43), (90.0 290.0 19.64), (90.0 310.0 19.86), (90.0 330.0 20.07), (90.0 350.0 20.28), (90.0 370.0 20.49), (90.0 390.0 20.52), (90.0 410.0 20.36), (90.0 430.0 24.65), (90.0 450.0 nan), 
(70.0 50.0 14.62), (70.0 70.0 15.36), (70.0 90.0 16.11), (70.0 110.0 16.85), (70.0 130.0 17.59), (70.0 150.0 18.34), (70.0 170.0 19.08), (70.0 190.0 19.56), (70.0 210.0 19.89), (70.0 230.0 20.1), (70.0 250.0 20.31), (70.0 270.0 20.52), (70.0 290.0 20.74), (70.0 310.0 20.95), (70.0 330.0 21.16), (70.0 350.0 21.38), (70.0 370.0 21.59), (70.0 390.0 21.8), (70.0 410.0 22.53), (70.0 430.0 nan), (70.0 450.0 nan), 
(50.0 50.0 13.62), (50.0 70.0 14.36), (50.0 90.0 15.1), (50.0 110.0 15.61), (50.0 130.0 16.12), (50.0 150.0 16.63), (50.0 170.0 17.14), (50.0 190.0 17.65), (50.0 210.0 18.16), (50.0 230.0 18.67), (50.0 250.0 19.18), (50.0 270.0 19.69), (50.0 290.0 20.2), (50.0 310.0 20.71), (50.0 330.0 21.22), (50.0 350.0 21.73), (50.0 370.0 22.24), (50.0 390.0 22.75), (50.0 410.0 nan), (50.0 430.0 nan), (50.0 450.0 nan), 
